          ;       10049;   ;sanitiza  ;Array                                   ;13052015      ;170949;201.241.211.18 ;OK ;                    ;Arreglo de parametros OK.                                               
          ;       10049;   ;sanitiza  ;Fin                                     ;13052015      ;170949;201.241.211.18 ;Ok ;                    ;Sanitizacion exitosa                                                    
1554989508;       10049;   ;pago      ;inicio                                  ;13052015      ;170949;201.241.211.18 ;OK ;597026007976        ;Parseo realizado                                                        
1554989508;       10049;   ;pago      ;https://certificacion.webpay.cl         ;13052015      ;170949;201.241.211.18 ;OK ;597026007976        ;Datos en datos/tbk_config.dat                                           
1554989508;       10049;   ;pago      ;https://certificacion.webpay.cl         ;13052015      ;170949;201.241.211.18 ;OK ;597026007976        ;Mac generado                                                            
1554989508;       10049;   ;pago      ;https://certificacion.webpay.cl         ;13052015      ;170949;201.241.211.18 ;OK ;597026007976        ;Construccion TBK_PARAM                                                  
1554989508;       10049;   ;pago      ;https://certificacion.webpay.cl         ;13052015      ;170949;201.241.211.18 ;OK ;597026007976        ;TBK_PARAM encriptado                                                    
1554989508;       10049;   ;pago      ;https://certificacion.webpay.cl         ;13052015      ;170949;201.241.211.18 ;OK ;597026007976        ;Datos listos para ser enviados                                          
1554989508;       10049;   ;pago      ;https://certificacion.webpay.cl         ;13052015      ;170949;201.241.211.18 ;OK ;597026007976        ;Medio 2: Por redireccion                                                
1554989508;       10049;   ;pago      ;https://certificacion.webpay.cl         ;13052015      ;170949;201.241.211.18 ;OK ;597026007976        ;Redireccion web                                                         
1554989508;       10049;   ;pago      ;https://certificacion.webpay.cl         ;13052015      ;170949;201.241.211.18 ;OK ;597026007976        ;Todo OK                                                                 
          ;       11296;   ;resultado ;Desencriptando                          ;13052015      ;171012;200.10.12.55   ;OK ;                    ;TBK_PARAM desencriptado                                                 
          ;       11296;   ;resultado ;Validacion                              ;13052015      ;171012;200.10.12.55   ;OK ;                    ;Entidad emisora de los datos validada                                   
          ;       11296;   ;resultado ;351                                     ;13052015      ;171012;200.10.12.55   ;OK ;                    ;Parseo de los datos                                                     
          ;       11296;   ;resultado ;351                                     ;13052015      ;171012;200.10.12.55   ;OK ;                    ;http://cccchile.cl/modules/webpayment/cierre_compra.php                 
1554989508;       11296;   ;transacc  ;1554989508                              ;13052015      ;171012;200.10.12.55   ;OK ;597026007976        ;conectandose al port :(80)                                              
1554989508;       11296;   ;resultado ;logro abrir_conexion                    ;13052015      ;171012;200.10.12.55   ; 0 ;597026007976        ;Abrio socket para conex-com                                             
1554989508;       11296;   ;transacc  ;1554989508                              ;13052015      ;171012;200.10.12.55   ;OK ;597026007976        ;POST a url http://cccchile.cl/modules/webpayment/cierre_compra.php      
1554989508;       11296;   ;transacc  ;1554989508                              ;13052015      ;171012;200.10.12.55   ;OK ;597026007976        ;mensaje enviado                                                         
          ;       11320;   ;check_mac ;                                        ;13052015      ;171012;192.254.184.22 ;ERR;                    ;-1                                                                      
          ;       11296;   ;resultado ;351                                     ;13052015      ;171012;200.10.12.55   ;OK ;                    ;tienda NO acepto transaccion                                            
          ;       11296;   ;resultado ;351                                     ;13052015      ;171012;200.10.12.55   ;OK ;                    ;respuesta enviada a TBK (ERR)                                           
1554989508;       11296;   ;resultado ;datoscom                                ;13052015      ;171012;200.10.12.55   ;Ok ;597026007976        ;Error al obtener ack (46)                                               
          ;       11296;   ;resultado ;351                                     ;13052015      ;171012;200.10.12.55   ;ERR;                    ;46                                                                      
